name,score,raw_score,evidence_gate_status,target_universe_type,county,sector,gics_industry_group,source_confidence_label,next_action,report_href
"Nightingale Nursing Home, Lowville, Ahascragh, Ballinasloe, County Galway",76.8,76.8,investment_ready,advertised_sale_listing,Galway,Businesses,Health Care Equipment & Services,public profile,prioritise_for_manual_origination_review,ic_packs/name-county-nightingale-nursing-home-lowville-ahascragh-ballinasloe-county-galway-galway/ic_draft.html
Airflow Air Refrigeration (Galway) Limited,67.9,71.9,origination_ready,operating_sme,Galway,Industrials & Engineering,Energy,public profile,research_and_enrich_before_outreach,ic_packs/name-county-airflow-air-refrigeration-galway-galway/ic_draft.html
Pat Kelly Plumbing and Heating Contractors (Galway) Limited,67.6,71.6,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-pat-kelly-plumbing-and-heating-contractors-galway-galway/ic_draft.html
Coen Steel Limited,65.5,69.5,origination_ready,operating_sme,Galway,Industrials & Engineering,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-coen-steel-galway/ic_draft.html
Galway Ideal Installation & Construction Co. Limited,64.6,68.6,origination_ready,operating_sme,Galway,Industrials & Engineering,Real Estate Management & Development,public profile,research_and_enrich_before_outreach,ic_packs/name-county-galway-ideal-installation-construction-galway/ic_draft.html
Logistics and Warehousing Solutions Provider,64.5,68.5,origination_ready,advertised_sale_listing,Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-logistics-and-warehousing-solutions-provider-ireland/ic_draft.html
"Mortons of Galway, Salthill, Galway., Salthill, Galway City",63.0,67.0,origination_ready,advertised_sale_listing,Galway,facilities,Software & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-mortons-of-galway-salthill-galway-salthill-galway-city-galway/ic_draft.html
"Fertilizer Company for Sale in Wexford, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Wexford,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-fertilizer-for-sale-in-wexford-ireland-wexford/ic_draft.html
Galway Stationery Supplies Limited,62.8,66.8,origination_ready,operating_sme,Galway,Food & Agribusiness,"Food, Beverage & Tobacco",public profile,research_and_enrich_before_outreach,ic_packs/name-county-galway-stationery-supplies-galway/ic_draft.html
Highly-Regarded Building and Civil Engineering,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Real Estate Management & Development,live listing,research_and_enrich_before_outreach,ic_packs/name-county-highly-regarded-building-and-civil-engineering-ireland/ic_draft.html
Innovative HVAC Solutions,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-innovative-hvac-solutions-ireland/ic_draft.html
Integrated Building Support and Safety Solutions,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-integrated-building-support-and-safety-solutions-ireland/ic_draft.html
"IT Consultancy Company for Sale in Dublin, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Dublin,Construction & Built Environment,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-it-consultancy-for-sale-in-dublin-ireland-dublin/ic_draft.html
"Online Marketplace Company for Sale in Dublin, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Dublin,Construction & Built Environment,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-online-marketplace-for-sale-in-dublin-ireland-dublin/ic_draft.html
Plant and Machinery Leasing,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-plant-and-machinery-leasing-ireland/ic_draft.html
"Profitable Commercial Nurseries Company for Sale in Galway, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Galway,Commercial Nurseries,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-profitable-commercial-nurseries-for-sale-in-galway-ireland-galway/ic_draft.html
"Solar Projects Company for Sale in Dublin, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Dublin,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-solar-projects-for-sale-in-dublin-ireland-dublin/ic_draft.html
Kevin Walsh Plumbing (Galway) Limited,62.7,66.7,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-kevin-walsh-plumbing-galway-galway/ic_draft.html
Galway Stainless Steel Limited,62.5,66.5,origination_ready,operating_sme,Galway,Industrials & Engineering,Materials,public profile,research_and_enrich_before_outreach,ic_packs/name-county-galway-stainless-steel-galway/ic_draft.html
Bellville Building & Construction Galway Limited,61.9,65.9,origination_ready,operating_sme,Galway,Industrials & Engineering,Software & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-bellville-building-construction-galway-galway/ic_draft.html
Spellman Construction Claregalway Limited,61.9,65.9,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-spellman-construction-claregalway-galway/ic_draft.html
"Newly Established Fabricated Metal Products Company Seeking Loan in Galway, Ireland",61.8,65.8,origination_ready,advertised_sale_listing,Galway,Industrials & Engineering,Consumer Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-newly-established-fabricated-metal-products-seeking-loan-in-galway-ireland-galway/ic_draft.html
Refrigeration Service and Supply Provider,61.8,65.8,origination_ready,advertised_sale_listing,Northern Ireland,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-refrigeration-service-and-supply-provider-northern-ireland/ic_draft.html
"O'Connor Fuels, 2 St Endas Avenue, Tuam, Galway",60.6,64.6,origination_ready,advertised_sale_listing,Galway,agri_food,Software & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-o-connor-fuels-2-st-endas-avenue-tuam-galway-galway/ic_draft.html
Cara Landscapes,60.2,64.2,origination_ready,advertised_sale_listing,Galway,Landscaping / Grounds Services,Energy,public profile,research_and_enrich_before_outreach,ic_packs/name-county-cara-landscapes-galway/ic_draft.html
Landscaping Galway,60.2,64.2,origination_ready,advertised_sale_listing,Galway,Landscaping / Grounds Services,"Food, Beverage & Tobacco",public profile,research_and_enrich_before_outreach,ic_packs/name-county-landscaping-galway-galway/ic_draft.html
Award Winning Beauty Salon With Prime Location,60.1,64.1,origination_ready,advertised_sale_listing,Dublin,Retail & Consumer,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-award-winning-beauty-salon-with-prime-location-dublin/ic_draft.html
Award-Winning Beauty Salon,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Retail & Consumer,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-award-winning-beauty-salon-ireland/ic_draft.html
B2B Food Distribution,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-b2b-food-distribution-ireland/ic_draft.html
Building and Construction Solutions,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Construction & Built Environment,Consumer Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-building-and-construction-solutions-ireland/ic_draft.html
"Carpentry Company Seeking Loan in Carlow, Ireland",60.1,64.1,origination_ready,advertised_sale_listing,Carlow,Construction & Built Environment,Consumer Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-carpentry-seeking-loan-in-carlow-ireland-carlow/ic_draft.html
Concrete Solutions and Installation Specialists,60.1,64.1,origination_ready,advertised_sale_listing,Northern Ireland,Construction & Built Environment,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-concrete-solutions-and-installation-specialists-northern-ireland/ic_draft.html
Dental and Aesthetic Clinic,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-dental-and-aesthetic-clinic-ireland/ic_draft.html
Established Dental Laboratory With Strong Reputation,60.1,64.1,origination_ready,advertised_sale_listing,Dublin,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-established-dental-laboratory-with-strong-reputation-dublin/ic_draft.html
Food Production Company in Cork,60.1,64.1,origination_ready,advertised_sale_listing,Cork,Industrials & Engineering,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-food-production-in-cork-cork/ic_draft.html
Healthcare Services Provider,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Business Services,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-healthcare-services-provider-ireland/ic_draft.html
High Performance Plastics Engineering Solutions,60.1,64.1,origination_ready,advertised_sale_listing,Northern Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-high-performance-plastics-engineering-solutions-northern-ireland/ic_draft.html
Industrial Engineering and Technical Solutions,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-industrial-engineering-and-technical-solutions-ireland/ic_draft.html
Mechanical and Electrical Engineering,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-mechanical-and-electrical-engineering-ireland/ic_draft.html
"Newly Established Real Estate Construction Company Seeking Loan in Dublin, Ireland",60.1,64.1,origination_ready,advertised_sale_listing,Dublin,Construction & Built Environment,Real Estate Management & Development,live listing,research_and_enrich_before_outreach,ic_packs/name-county-newly-established-real-estate-construction-seeking-loan-in-dublin-ireland-dublin/ic_draft.html
"Profitable Art Gallery for Sale in Dublin, Ireland",60.1,64.1,origination_ready,advertised_sale_listing,Dublin,Business Services,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-profitable-art-gallery-for-sale-in-dublin-ireland-dublin/ic_draft.html
Shading Solutions Manufacturer,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-shading-solutions-manufacturer-ireland/ic_draft.html
Specialist Manufacturer of Certified Joinery,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-specialist-manufacturer-of-certified-joinery-ireland/ic_draft.html
Specialist Manufacturer of High-Quality Furniture Shells,60.1,64.1,origination_ready,advertised_sale_listing,Ireland,Retail & Consumer,Consumer Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-specialist-manufacturer-of-high-quality-furniture-shells-ireland/ic_draft.html
SQUAT Dental Practice,60.1,64.1,origination_ready,advertised_sale_listing,Northern Ireland,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-squat-dental-practice-northern-ireland/ic_draft.html
"Telemedicine Company for Sale in Dublin, Ireland",60.1,64.1,origination_ready,advertised_sale_listing,Dublin,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-telemedicine-for-sale-in-dublin-ireland-dublin/ic_draft.html
Well-established Private GP Practice With Strong Patient Base In Dublin,60.1,64.1,origination_ready,advertised_sale_listing,Dublin,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-well-established-private-gp-practice-with-strong-patient-base-in-dublin-dublin/ic_draft.html
Primary Care (Galway City East Health Centre) Limited,59.6,63.6,origination_ready,operating_sme,Galway,Healthcare & Life Sciences,Health Care Equipment & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-primary-care-galway-city-east-health-centre-galway/ic_draft.html
Building Services Engineering Specialist,59.4,63.4,origination_ready,advertised_sale_listing,Northern Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-building-services-engineering-specialist-northern-ireland/ic_draft.html
Civil and Structural Engineering Consultancy,59.4,63.4,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-civil-and-structural-engineering-consultancy-ireland/ic_draft.html
"Digital Marketing Company for Sale in Dublin, Ireland",59.1,63.1,origination_ready,advertised_sale_listing,Dublin,Media & Creative,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-digital-marketing-for-sale-in-dublin-ireland-dublin/ic_draft.html
Financial Advisory AR,59.1,63.1,origination_ready,advertised_sale_listing,Northern Ireland,Financial & Professional Services,Commercial & Professional Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-financial-advisory-ar-northern-ireland/ic_draft.html
"Tour Operator for Sale in Dublin, Ireland",59.1,63.1,origination_ready,advertised_sale_listing,Dublin,Transport & Logistics,Consumer Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-tour-operator-for-sale-in-dublin-ireland-dublin/ic_draft.html
CP CONTRACTS,58.5,62.5,origination_ready,advertised_sale_listing,Galway,Landscaping / Grounds Services,"Food, Beverage & Tobacco",public profile,research_and_enrich_before_outreach,ic_packs/name-county-cp-contracts-galway/ic_draft.html
Lucrative Wholesale Food Supplier Business In Connaught Galway,58.4,62.4,origination_ready,advertised_sale_listing,Galway,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-lucrative-wholesale-food-supplier-business-in-connaught-galway-galway/ic_draft.html
Grealish Gas & Fuel Galway Limited,58.3,62.3,origination_ready,operating_sme,Galway,Food & Agribusiness,Energy,public profile,research_and_enrich_before_outreach,ic_packs/name-county-grealish-gas-fuel-galway-galway/ic_draft.html
Food Distribution Company in Limerick,57.4,61.4,origination_ready,advertised_sale_listing,Limerick,Food & Agribusiness,Real Estate Management & Development,live listing,research_and_enrich_before_outreach,ic_packs/name-county-food-distribution-in-limerick-limerick/ic_draft.html
HVAC Company With Recurring Revenue & Scalable Infras In Dublin,57.4,61.4,origination_ready,advertised_sale_listing,Dublin,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-hvac-with-recurring-revenue-scalable-infras-in-dublin-dublin/ic_draft.html
Lean Digital Interiors & E-Commerce,57.4,61.4,origination_ready,advertised_sale_listing,Ireland,Retail & Consumer,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-lean-digital-interiors-e-commerce-ireland/ic_draft.html
Legal Services and Solicitors' Firm,57.4,61.4,origination_ready,advertised_sale_listing,Tyrone,Financial & Professional Services,Commercial & Professional Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-legal-services-and-solicitors-firm-tyrone/ic_draft.html
"Newly Established Mechanical Services Company Seeking Loan in Dublin, Ireland",57.4,61.4,origination_ready,advertised_sale_listing,Dublin,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-newly-established-mechanical-services-seeking-loan-in-dublin-ireland-dublin/ic_draft.html
"Newly Established Specialty Pharmaceuticals Company Equity Stake For Sale in Dublin, Ireland",57.4,61.4,origination_ready,advertised_sale_listing,Dublin,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-newly-established-specialty-pharmaceuticals-equity-stake-for-sale-in-dublin-ireland-/ic_draft.html
Professional Practice,57.4,61.4,origination_ready,advertised_sale_listing,Northern Ireland,Business Services,Commercial & Professional Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-professional-practice-northern-ireland/ic_draft.html
Turnkey Dental Practice With Expansion Potential In Dublin,57.4,61.4,origination_ready,advertised_sale_listing,Dublin,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-turnkey-dental-practice-with-expansion-potential-in-dublin-dublin/ic_draft.html
Two-Way Communication Technology Distributor,57.4,61.4,origination_ready,advertised_sale_listing,Northern Ireland,Automotive,Commercial & Professional Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-two-way-communication-technology-distributor-northern-ireland/ic_draft.html
"Yoga Studio For Sale Dublin 15 | €60,000",57.4,61.4,origination_ready,advertised_sale_listing,Dublin,Construction & Built Environment,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-yoga-studio-for-sale-dublin-15-60-000-dublin/ic_draft.html
Boat and Vessel Design and Manufacturing,56.7,60.7,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-boat-and-vessel-design-and-manufacturing-ireland/ic_draft.html
Fully Private Dentistry,56.7,60.7,origination_ready,advertised_sale_listing,Northern Ireland,Healthcare & Life Sciences,Health Care Equipment & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-fully-private-dentistry-northern-ireland/ic_draft.html
Nationwide Agricultural Equipment,56.7,60.7,origination_ready,advertised_sale_listing,Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-nationwide-agricultural-equipment-ireland/ic_draft.html
Specialist Signage and Fabrication Company,56.7,60.7,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-specialist-signage-and-fabrication-ireland/ic_draft.html
Wholesaler and Distributor of Consumer Products,56.7,60.7,origination_ready,advertised_sale_listing,Northern Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-wholesaler-and-distributor-of-consumer-products-northern-ireland/ic_draft.html
Greaney Glass Products Limited,56.2,60.2,origination_ready,operating_sme,Galway,Business Services,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-greaney-glass-products-galway/ic_draft.html
Claregalway Logistics Limited,55.9,59.9,origination_ready,operating_sme,Galway,Transport & Logistics,Capital Goods & Commercial Services,public profile,keep_on_watchlist,ic_packs/name-county-claregalway-logistics-galway/ic_draft.html
East Galway Quality Tool Hire Limited,55.9,59.9,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,keep_on_watchlist,ic_packs/name-county-east-galway-quality-tool-hire-galway/ic_draft.html
Galway Complete Roofing Limited,55.9,59.9,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,keep_on_watchlist,ic_packs/name-county-galway-complete-roofing-galway/ic_draft.html
Galway L-Zinc Roofing Limited,55.9,59.9,origination_ready,operating_sme,Galway,Construction & Built Environment,Consumer Services,public profile,keep_on_watchlist,ic_packs/name-county-galway-l-zinc-roofing-galway/ic_draft.html
Galway Tool and Mould Limited,55.9,59.9,origination_ready,operating_sme,Galway,Business Services,Commercial & Professional Services,public profile,keep_on_watchlist,ic_packs/name-county-galway-tool-and-mould-galway/ic_draft.html
O'Malley Construction (Claregalway No 1) Limited,55.9,59.9,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,keep_on_watchlist,ic_packs/name-county-o-malley-construction-claregalway-no-1-galway/ic_draft.html
Galway Truck Centre Limited,55.5,59.5,origination_ready,operating_sme,Galway,Automotive,Commercial & Professional Services,public profile,keep_on_watchlist,ic_packs/name-county-galway-truck-centre-galway/ic_draft.html
Successful Agricultural Consultancy Business In Galway City,55.2,59.2,origination_ready,advertised_sale_listing,Galway,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,keep_on_watchlist,ic_packs/name-county-successful-agricultural-consultancy-business-in-galway-city-galway/ic_draft.html
Profitable Commercial Nursery for Sale in Galway,54.8,58.8,origination_ready,advertised_sale_listing,Galway,Retail & Consumer,Software & Services,live listing,keep_on_watchlist,ic_packs/name-county-profitable-commercial-nursery-for-sale-in-galway-galway/ic_draft.html
Established Industrial Engineering & Mechanical Services Business,54.7,58.7,origination_ready,advertised_sale_listing,Dublin,Industrials & Engineering,Capital Goods & Commercial Services,live listing,keep_on_watchlist,ic_packs/name-county-established-industrial-engineering-mechanical-services-business-dublin/ic_draft.html
Well-established Snack Distribution Business In Dublin,54.7,58.7,origination_ready,advertised_sale_listing,Dublin,Food & Agribusiness,Financial Services,live listing,keep_on_watchlist,ic_packs/name-county-well-established-snack-distribution-business-in-dublin-dublin/ic_draft.html
Traditional Irish Pub in Galway City,54.5,58.5,origination_ready,advertised_sale_listing,Galway,Food & Beverage,Real Estate Management & Development,live listing,keep_on_watchlist,ic_packs/name-county-traditional-irish-pub-in-galway-city-galway/ic_draft.html
Iclean Professional Cleaning Services Limited,54.2,58.2,origination_ready,operating_sme,Galway,Business Services,Capital Goods & Commercial Services,public profile,keep_on_watchlist,ic_packs/name-county-iclean-professional-cleaning-services-galway/ic_draft.html
Apprenticeship Training Provider,54.0,58.0,origination_ready,advertised_sale_listing,Northern Ireland,Business Services,Capital Goods & Commercial Services,live listing,keep_on_watchlist,ic_packs/name-county-apprenticeship-training-provider-northern-ireland/ic_draft.html
Freight Transport and Logistics Provider,54.0,58.0,origination_ready,advertised_sale_listing,Northern Ireland,Transport & Logistics,Capital Goods & Commercial Services,live listing,keep_on_watchlist,ic_packs/name-county-freight-transport-and-logistics-provider-northern-ireland/ic_draft.html
Printing and Office Equipment,54.0,58.0,origination_ready,advertised_sale_listing,Antrim,Business Services,Capital Goods & Commercial Services,live listing,keep_on_watchlist,ic_packs/name-county-printing-and-office-equipment-antrim/ic_draft.html
Road Sweeping & Maintenance Provider,54.0,58.0,origination_ready,advertised_sale_listing,Ireland,Transport & Logistics,Capital Goods & Commercial Services,live listing,keep_on_watchlist,ic_packs/name-county-road-sweeping-maintenance-provider-ireland/ic_draft.html
"Taxi Business Seeking Loan in Dublin, Ireland",54.0,58.0,origination_ready,advertised_sale_listing,Dublin,Transport & Logistics,Consumer Services,live listing,keep_on_watchlist,ic_packs/name-county-taxi-business-seeking-loan-in-dublin-ireland-dublin/ic_draft.html
Agricultural Inputs and Supplements Provider,45.3,57.3,research_needed,advertised_sale_listing,Northern Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,keep_on_watchlist,ic_packs/name-county-agricultural-inputs-and-supplements-provider-northern-ireland/ic_draft.html
Wholesale Food Business,45.3,57.3,research_needed,advertised_sale_listing,Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,keep_on_watchlist,ic_packs/name-county-wholesale-food-business-ireland/ic_draft.html
Wholesale Food Supply Specialist,45.3,57.3,research_needed,advertised_sale_listing,Northern Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,keep_on_watchlist,ic_packs/name-county-wholesale-food-supply-specialist-northern-ireland/ic_draft.html
