collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,company_number_join_key,director_export_source_id,source_note,source_url,source_date,approved_by,acceptance_rule
1,galway-company-001,missing_row,Galway,Galway City,Galway / Galway City,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
2,galway-company-002,missing_row,Galway,Galway City,Galway / Galway City,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
3,galway-company-003,missing_row,Galway,Galway City,Galway / Galway City,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
4,galway-company-004,missing_row,Galway,Galway City,Galway / Galway City,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
5,galway-company-005,missing_row,Galway,Galway City,Galway / Galway City,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
6,galway-company-006,missing_row,Galway,Salthill,Galway / Salthill,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
7,galway-company-007,missing_row,Galway,Salthill,Galway / Salthill,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
8,galway-company-008,missing_row,Galway,Salthill,Galway / Salthill,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
9,galway-company-009,missing_row,Galway,Salthill,Galway / Salthill,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
10,galway-company-010,missing_row,Galway,Salthill,Galway / Salthill,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
11,galway-company-011,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
12,galway-company-012,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
13,galway-company-013,missing_row,Galway,Oranmore,Galway / Oranmore,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
14,galway-company-014,missing_row,Galway,Oranmore,Galway / Oranmore,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
15,galway-company-015,missing_row,Galway,Oranmore,Galway / Oranmore,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
16,galway-company-016,missing_row,Galway,Athenry,Galway / Athenry,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
17,galway-company-017,missing_row,Galway,Athenry,Galway / Athenry,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
18,galway-company-018,missing_row,Galway,Athenry,Galway / Athenry,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
19,galway-company-019,missing_row,Galway,Athenry,Galway / Athenry,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
20,galway-company-020,missing_row,Galway,Athenry,Galway / Athenry,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
21,galway-company-021,missing_row,Galway,Athenry,Galway / Athenry,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
22,galway-company-022,missing_row,Galway,Tuam,Galway / Tuam,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
23,galway-company-023,missing_row,Galway,Tuam,Galway / Tuam,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
24,galway-company-024,missing_row,Galway,Tuam,Galway / Tuam,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
25,galway-company-025,missing_row,Galway,Tuam,Galway / Tuam,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
26,galway-company-026,missing_row,Galway,Tuam,Galway / Tuam,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
27,galway-company-027,missing_row,Galway,Loughrea,Galway / Loughrea,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
28,galway-company-028,missing_row,Galway,Loughrea,Galway / Loughrea,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
29,galway-company-029,missing_row,Galway,Loughrea,Galway / Loughrea,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
30,galway-company-030,missing_row,Galway,Loughrea,Galway / Loughrea,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
31,galway-company-031,missing_row,Galway,Loughrea,Galway / Loughrea,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
32,galway-company-032,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
33,galway-company-033,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
34,galway-company-034,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
35,galway-company-035,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
36,galway-company-036,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
37,galway-company-037,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
38,galway-company-038,missing_row,Galway,Gort,Galway / Gort,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
39,galway-company-039,missing_row,Galway,Gort,Galway / Gort,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
40,galway-company-040,missing_row,Galway,Gort,Galway / Gort,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
41,galway-company-041,missing_row,Galway,Gort,Galway / Gort,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
42,galway-company-042,missing_row,Galway,Gort,Galway / Gort,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
43,galway-company-043,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
44,galway-company-044,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
45,galway-company-045,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
46,galway-company-046,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
47,galway-company-047,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
48,galway-company-048,missing_row,Galway,Clifden / Connemara,Galway / Clifden / Connemara,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
49,dublin-company-049,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
50,dublin-company-050,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
51,dublin-company-051,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
52,dublin-company-052,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
53,dublin-company-053,missing_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
54,dublin-company-054,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
55,dublin-company-055,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
56,dublin-company-056,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
57,dublin-company-057,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
58,dublin-company-058,missing_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
59,dublin-company-059,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
60,dublin-company-060,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
61,dublin-company-061,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
62,dublin-company-062,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
63,dublin-company-063,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
64,dublin-company-064,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
65,dublin-company-065,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
66,dublin-company-066,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
67,dublin-company-067,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
68,dublin-company-068,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
69,dublin-company-069,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
70,dublin-company-070,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
71,dublin-company-071,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
72,dublin-company-072,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
73,dublin-company-073,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
74,dublin-company-074,missing_row,Dublin,Swords / North County,Dublin / Swords / North County,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
75,dublin-company-075,missing_row,Dublin,Swords / North County,Dublin / Swords / North County,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
76,dublin-company-076,missing_row,Dublin,Swords / North County,Dublin / Swords / North County,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
77,dublin-company-077,missing_row,Dublin,Swords / North County,Dublin / Swords / North County,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
78,dublin-company-078,missing_row,Dublin,Swords / North County,Dublin / Swords / North County,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
79,dublin-company-079,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
80,dublin-company-080,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
81,dublin-company-081,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
82,dublin-company-082,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
83,dublin-company-083,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
84,dublin-company-084,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
85,dublin-company-085,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
86,dublin-company-086,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
87,dublin-company-087,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
88,dublin-company-088,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
89,dublin-company-089,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
90,dublin-company-090,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
91,dublin-company-091,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
92,dublin-company-092,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
93,dublin-company-093,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
94,galway-company-094,incomplete_row,Galway,Galway City,Galway / Galway City,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
95,galway-company-095,incomplete_row,Galway,Salthill,Galway / Salthill,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
96,galway-company-096,incomplete_row,Galway,Oranmore,Galway / Oranmore,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
97,galway-company-097,incomplete_row,Galway,Tuam,Galway / Tuam,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
98,galway-company-098,incomplete_row,Galway,Loughrea,Galway / Loughrea,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
99,galway-company-099,incomplete_row,Galway,Gort,Galway / Gort,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
100,dublin-company-100,incomplete_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
101,dublin-company-101,incomplete_row,Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
102,dublin-company-102,incomplete_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
103,dublin-company-103,incomplete_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
104,dublin-company-104,incomplete_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
105,dublin-company-105,incomplete_row,Dublin,Swords / North County,Dublin / Swords / North County,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
106,dublin-company-106,incomplete_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
107,dublin-company-107,incomplete_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
108,dublin-company-108,incomplete_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
