rank,priority_bucket,name,county,sector,subsector,target_universe_type,evidence_gate_status,score,raw_score,score_penalty,source_confidence_score,source_confidence_label,what_this_means,research_action,why_this_matters,missing_evidence,next_action,review_owner,source_url,report_href
1,1_operating_sme_priority_sector,Airflow Air Refrigeration (Galway) Limited,Galway,Industrials & Engineering,HVAC & refrigeration,operating_sme,origination_ready,67.9,71.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Airflow-Air-Refrigeration-Galway-Limited-413918,ic_packs/name-county-airflow-air-refrigeration-galway-galway/ic_draft.html
2,1_operating_sme_priority_sector,Pat Kelly Plumbing and Heating Contractors (Galway) Limited,Galway,Construction & Built Environment,Plumbing & drainage,operating_sme,origination_ready,67.6,71.6,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Pat-Kelly-Plumbing-And-Heating-Contractors-Galway-Limited-74671,ic_packs/name-county-pat-kelly-plumbing-and-heating-contractors-galway-galway/ic_draft.html
3,1_operating_sme_priority_sector,Coen Steel Limited,Galway,Industrials & Engineering,Steel fabrication & metalwork,operating_sme,origination_ready,65.5,69.5,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Coen-Steel-Limited-10660,ic_packs/name-county-coen-steel-galway/ic_draft.html
4,1_operating_sme_priority_sector,Galway Ideal Installation & Construction Co. Limited,Galway,Industrials & Engineering,Precision engineering & manufacturing,operating_sme,origination_ready,64.6,68.6,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Ideal-Installation-And-Construction-Co-Limited-145800,ic_packs/name-county-galway-ideal-installation-construction-galway/ic_draft.html
5,1_operating_sme_priority_sector,Galway Stationery Supplies Limited,Galway,Food & Agribusiness,Wholesale distribution,operating_sme,origination_ready,62.8,66.8,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Stationery-Supplies-Limited-328550,ic_packs/name-county-galway-stationery-supplies-galway/ic_draft.html
6,1_operating_sme_priority_sector,Kevin Walsh Plumbing (Galway) Limited,Galway,Construction & Built Environment,Plumbing & drainage,operating_sme,origination_ready,62.7,66.7,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Kevin-Walsh-Plumbing-Galway-Limited-214731,ic_packs/name-county-kevin-walsh-plumbing-galway-galway/ic_draft.html
7,1_operating_sme_priority_sector,Galway Stainless Steel Limited,Galway,Industrials & Engineering,Steel fabrication & metalwork,operating_sme,origination_ready,62.5,66.5,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Stainless-Steel-Limited-181689,ic_packs/name-county-galway-stainless-steel-galway/ic_draft.html
8,1_operating_sme_priority_sector,Bellville Building & Construction Galway Limited,Galway,Industrials & Engineering,Precision engineering & manufacturing,operating_sme,origination_ready,61.9,65.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Bellville-Building-And-Construction-Galway-Limited-153011,ic_packs/name-county-bellville-building-construction-galway-galway/ic_draft.html
9,1_operating_sme_priority_sector,Spellman Construction Claregalway Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,61.9,65.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Spellman-Construction-Claregalway-Limited-226832,ic_packs/name-county-spellman-construction-claregalway-galway/ic_draft.html
10,1_operating_sme_priority_sector,Primary Care (Galway City East Health Centre) Limited,Galway,Healthcare & Life Sciences,GP & primary care practices,operating_sme,origination_ready,59.6,63.6,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Primary-Care-Galway-City-East-Health-Centre-Limited-560673,ic_packs/name-county-primary-care-galway-city-east-health-centre-galway/ic_draft.html
11,1_operating_sme_priority_sector,Grealish Gas & Fuel Galway Limited,Galway,Food & Agribusiness,Wholesale distribution,operating_sme,origination_ready,58.3,62.3,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Grealish-Gas-And-Fuel-Galway-Limited-682426,ic_packs/name-county-grealish-gas-fuel-galway-galway/ic_draft.html
12,1_operating_sme_priority_sector,Greaney Glass Products Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,origination_ready,56.2,60.2,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Greaney-Glass-Products-Limited-209437,ic_packs/name-county-greaney-glass-products-galway/ic_draft.html
13,1_operating_sme_priority_sector,Claregalway Logistics Limited,Galway,Transport & Logistics,Road haulage & freight,operating_sme,origination_ready,55.9,59.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Claregalway-Logistics-Limited-695286,ic_packs/name-county-claregalway-logistics-galway/ic_draft.html
14,1_operating_sme_priority_sector,East Galway Quality Tool Hire Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,55.9,59.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/East-Galway-Quality-Tool-Hire-Limited-757242,ic_packs/name-county-east-galway-quality-tool-hire-galway/ic_draft.html
15,1_operating_sme_priority_sector,Galway Complete Roofing Limited,Galway,Construction & Built Environment,Roofing & cladding,operating_sme,origination_ready,55.9,59.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Complete-Roofing-Limited-783248,ic_packs/name-county-galway-complete-roofing-galway/ic_draft.html
16,1_operating_sme_priority_sector,Galway L-Zinc Roofing Limited,Galway,Construction & Built Environment,Roofing & cladding,operating_sme,origination_ready,55.9,59.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-L-Zinc-Roofing-Limited-764911,ic_packs/name-county-galway-l-zinc-roofing-galway/ic_draft.html
17,1_operating_sme_priority_sector,Galway Tool and Mould Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,origination_ready,55.9,59.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Tool-And-Mould-Limited-169648,ic_packs/name-county-galway-tool-and-mould-galway/ic_draft.html
18,1_operating_sme_priority_sector,O'Malley Construction (Claregalway No 1) Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,55.9,59.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Omalley-Construction-Claregalway-No-1-Limited-765405,ic_packs/name-county-o-malley-construction-claregalway-no-1-galway/ic_draft.html
19,1_operating_sme_priority_sector,Galway Truck Centre Limited,Galway,Automotive,Truck & commercial vehicle repair,operating_sme,origination_ready,55.5,59.5,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Truck-Centre-Limited-71893,ic_packs/name-county-galway-truck-centre-galway/ic_draft.html
20,1_operating_sme_priority_sector,Iclean Professional Cleaning Services Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,origination_ready,54.2,58.2,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Iclean-Professional-Cleaning-Services-Limited-774964,ic_packs/name-county-iclean-professional-cleaning-services-galway/ic_draft.html
21,1_operating_sme_priority_sector,Galway Car Care Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,45.1,57.1,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Car-Care-Limited-170439,ic_packs/name-county-galway-car-care-galway/ic_draft.html
22,1_operating_sme_priority_sector,Galway Oven Cleaning Company Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,44.9,56.9,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Oven-Cleaning-Company-Limited-513128,ic_packs/name-county-galway-oven-cleaning-galway/ic_draft.html
23,1_operating_sme_priority_sector,James Cunningham Heating Contractors (Galway) Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,43.0,55.0,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/James-Cunningham-Heating-Contractors-Galway-Limited-295586,ic_packs/name-county-james-cunningham-heating-contractors-galway-galway/ic_draft.html
24,1_operating_sme_priority_sector,Galway Maintenance Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.6,54.6,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Maintenance-Limited-468705,ic_packs/name-county-galway-maintenance-galway/ic_draft.html
25,1_operating_sme_priority_sector,Galway Specsavers Hearcare Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.6,54.6,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Specsavers-Hearcare-Limited-425217,ic_packs/name-county-galway-specsavers-hearcare-galway/ic_draft.html
26,1_operating_sme_priority_sector,Desmond Murphy Truck Sales (Galway ) Limited,Galway,Automotive,Truck & commercial vehicle repair,operating_sme,research_needed,42.4,54.4,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Desmond-Murphy-Truck-Sales-Galway-Limited-351910,ic_packs/name-county-desmond-murphy-truck-sales-galway-galway/ic_draft.html
27,1_operating_sme_priority_sector,J. O'Toole & Sons (Galway) Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.4,54.4,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/J-Otoole-And-Sons-Galway-Limited-178789,ic_packs/name-county-j-o-toole-sons-galway-galway/ic_draft.html
28,1_operating_sme_priority_sector,Healy Electrical Galway Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.2,54.2,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Healy-Electrical-Galway-Limited-144510,ic_packs/name-county-healy-electrical-galway-galway/ic_draft.html
29,1_operating_sme_priority_sector,Galway Tool & Mould Innovations Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.1,54.1,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Tool-And-Mould-Innovations-Limited-512651,ic_packs/name-county-galway-tool-mould-innovations-galway/ic_draft.html
30,1_operating_sme_priority_sector,Galway Fuel Supplies Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,39.8,51.8,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Fuel-Supplies-Limited-214607,ic_packs/name-county-galway-fuel-supplies-galway/ic_draft.html
31,1_operating_sme_priority_sector,Tuam Road Galway Service Station Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,38.9,50.9,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Tuam-Road-Galway-Service-Station-Limited-777192,ic_packs/name-county-tuam-road-galway-service-station-galway/ic_draft.html
32,1_operating_sme_priority_sector,East Galway Tyres Limited,Galway,Automotive,Tyre & exhaust centres,operating_sme,research_needed,36.2,48.2,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/East-Galway-Tyres-Limited-738922,ic_packs/name-county-east-galway-tyres-galway/ic_draft.html
33,1_operating_sme_priority_sector,Galway Electrical Services Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,36.2,48.2,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Electrical-Services-Limited-679437,ic_packs/name-county-galway-electrical-services-galway/ic_draft.html
34,1_operating_sme_priority_sector,Galway Truck and Van Testing Centre Limited,Galway,Automotive,Truck & commercial vehicle repair,operating_sme,research_needed,36.2,48.2,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Truck-And-Van-Testing-Centre-Limited-592056,ic_packs/name-county-galway-truck-and-van-testing-centre-galway/ic_draft.html
35,2_operating_sme_other_sector,Galway Catering Company Limited,Galway,Hospitality & Tourism,Event venues & catering,operating_sme,research_needed,39.8,51.8,12.0,86.0,public profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Catering-Company-Limited-467610,ic_packs/name-county-galway-catering-galway/ic_draft.html
36,2_operating_sme_other_sector,1ST PORT OF GALWAY SEA SCOUTS COMPANY LIMITED BY GUARANTEE,Galway,,Diversified Support Services,operating_sme,research_needed,34.9,46.9,12.0,92.0,verified profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,keep_on_watchlist,Dylan / analyst,https://services.cro.ie/cws/company/711992/C?format=json,ic_packs/cro-711992/ic_draft.html
37,2_operating_sme_other_sector,A & M RESTAURANT LIMITED,Galway,,Diversified Support Services,operating_sme,research_needed,31.8,43.8,12.0,92.0,verified profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,defer_until_new_evidence,Dylan / analyst,https://services.cro.ie/cws/company/786116/C?format=json,ic_packs/cro-786116/ic_draft.html
38,2_operating_sme_other_sector,A. HARTMANN & SON LIMITED,Galway,,Diversified Support Services,operating_sme,research_needed,31.4,43.4,12.0,92.0,verified profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,defer_until_new_evidence,Dylan / analyst,https://services.cro.ie/cws/company/59625/C?format=json,ic_packs/cro-59625/ic_draft.html
39,2_operating_sme_other_sector,LAWN-KING LIMITED,Galway,,Diversified Support Services,operating_sme,research_needed,31.4,43.4,12.0,92.0,verified profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,defer_until_new_evidence,Dylan / analyst,https://services.cro.ie/cws/company/222180/C?format=json,ic_packs/cro-222180/ic_draft.html
40,2_operating_sme_other_sector,126 ARTIST-RUN GALLERY & STUDIOS COMPANY LIMITED BY GUARANTEE,Galway,,Diversified Support Services,operating_sme,research_needed,30.5,42.5,12.0,92.0,verified profile,"Potentially relevant, but missing evidence must be filled before contact confidence.","Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,defer_until_new_evidence,Dylan / analyst,https://services.cro.ie/cws/company/698394/C?format=json,ic_packs/cro-698394/ic_draft.html
